Time	[0:22]	[0:23]	[0:24]	[0:25]	[0:26]	[12:1]	[12:2]	[12:3]	[12:4]	[12:6]	[12:7]	[12:8]	[12:9]	[12:10]	[12:11]	[13:0]	[13:2]	[13:4]	[13:6]	[14:21]	[14:22]	[14:23]	[14:24]	[14:25]	[35:12]	[36:12]	[37:12]	[38:12]	[39:12]
time	Std1LinSpdRef	Std2LinSpdRef	Std3LinSpdRef	Std4LinSpdRef	Std5LinSpdRef	InterStd12TenRef	InterStd23TenRef	InterStd34TenRef	InterStd45TenRef	InterStd01TenActFlt	InterStd12TenActFlt	InterStd23TenActFlt	InterStd34TenActFlt	InterStd45TenActFlt	InterStd5TenrTenActFlt	X0.ThkAct	X1.ThkAct	X4.ThkAct	X5A.ThkAct	Std1ThkRef	Std2ThkRef	Std3ThkRef	Std4ThkRef	Std5ThkRef	1#HgcSrgActOS	2#HgcSrgActOS	3#HgcSrgActOS	4#HgcSrgActOS	5#HgcSrgActOS	
0.138	195.082	313.771	481.482	800.31	1200	17.832	11.762	7.928	4.94	11.1548	18.3345	11.788	7.99098	4.89375	1.47874	2.17456	1.49724	0.370612	0.253093	1.505	0.934	0.607	0.37	0.252	1.76399	0.862991	0.762115	1.32059	2.9594
0.14	195.082	313.771	481.482	800.31	1200	17.832	11.762	7.928	4.94	11.1548	18.3345	11.788	7.99098	4.89375	1.47874	2.17456	1.49724	0.370612	0.253093	1.505	0.934	0.607	0.37	0.252	1.76399	0.862991	0.762115	1.32059	2.9594
0.142	195.082	313.771	481.482	800.31	1200	17.832	11.762	7.928	4.94	11.1548	18.3345	11.788	7.99098	4.89375	1.47874	2.17456	1.49724	0.370612	0.253093	1.505	0.934	0.607	0.37	0.252	1.76399	0.862991	0.762115	1.32059	2.9594
0.144	195.082	313.771	481.482	800.31	1200	17.832	11.762	7.928	4.94	11.1557	18.3878	11.7391	8.03491	4.90964	1.49663	2.17456	1.49724	0.370612	0.2532	1.505	0.934	0.607	0.37	0.252	1.76399	0.862991	0.760315	1.32132	2.95968
0.146	195.082	313.771	481.482	800.31	1200	17.832	11.762	7.928	4.94	11.1557	18.3878	11.7391	8.03491	4.90964	1.49663	2.17456	1.49724	0.370612	0.2532	1.505	0.934	0.607	0.37	0.252	1.76399	0.862991	0.760315	1.32132	2.95968
0.148	194.769	313.243	480.672	798.963	1200	17.832	11.762	7.928	4.94	11.1557	18.3878	11.7391	8.03491	4.90964	1.49663	2.17456	1.49724	0.370612	0.2532	1.505	0.934	0.607	0.37	0.252	1.76399	0.862991	0.760315	1.32132	2.95968
0.15	194.769	313.243	480.672	798.963	1200	17.832	11.762	7.928	4.94	11.1557	18.3878	11.7391	8.03491	4.90964	1.49663	2.17456	1.49724	0.370612	0.2532	1.505	0.934	0.607	0.37	0.252	1.76399	0.862991	0.760315	1.32132	2.95968
0.152	194.769	313.243	480.672	798.963	1200	17.832	11.762	7.928	4.94	11.1557	18.3878	11.7391	8.03491	4.90964	1.49663	2.17701	1.49969	0.370612	0.253281	1.505	0.934	0.607	0.37	0.252	1.76399	0.862991	0.759262	1.32099	2.96059
0.154	194.769	313.243	480.672	798.963	1200	17.832	11.762	7.928	4.94	11.1557	18.3878	11.7391	8.03491	4.90964	1.49663	2.17701	1.49969	0.370612	0.253281	1.505	0.934	0.607	0.37	0.252	1.76399	0.862991	0.759262	1.32099	2.96059
0.156	194.769	313.243	480.672	798.963	1200	17.832	11.762	7.928	4.94	11.1557	18.3878	11.7391	8.03491	4.90964	1.49663	2.17701	1.49969	0.370612	0.253281	1.505	0.934	0.607	0.37	0.252	1.76399	0.862991	0.759262	1.32099	2.96059
